study,sweep,sweep-year-age
1958 NCDS,-99.0, -- ALL NCDS sweeps
1958 NCDS,-1.0,NCDS_cross_sweep
1958 NCDS,0.0,NCDS0_1958_birth
1958 NCDS,1.0,NCDS1_1965_7y
1958 NCDS,2.0,NCDS2_1969_11y
1958 NCDS,3.0,NCDS3_1974_16y
1958 NCDS,4.0,NCDS4_1981_23y
1958 NCDS,5.0,NCDS5_1991_33y
1958 NCDS,6.0,NCDS6_1999_41y
1958 NCDS,6.1,NCDS6.1_2002_44y
1958 NCDS,7.0,NCDS7_2004_45y
1958 NCDS,8.0,NCDS8_2008_50y
1958 NCDS,9.0,NCDS9_2013_55y
1958 NCDS,9.1,NCDS9.1_2020_63y
1958 NCDS,9.2,NCDS9.2_2020_63y
1958 NCDS,9.3,NCDS9.3_2021_63y
1958 NCDS,9.4,NCDS9.4_2021_63y
1970 BCS,-99.0, -- ALL BCS sweeps
1970 BCS,-1.0,BCS_cross_sweep
1970 BCS,1.0,BCS1_1970_birth
1970 BCS,2.0,BCS2_1975_5y
1970 BCS,3.0,BCS3_1980_10y
1970 BCS,4.0,BCS4_1986_15y
1970 BCS,5.0,BCS5_1996_26y
1970 BCS,6.0,BCS6_1999_29y
1970 BCS,7.0,BCS7_2004_34y
1970 BCS,8.0,BCS8_2008_38y
1970 BCS,9.0,BCS9_2012_42y
1970 BCS,10.0,BCS10_2016_46y
1970 BCS,10.1,BCS10.1_2020_50y
1970 BCS,10.2,BCS10.2_2020_50y
1970 BCS,10.3,BCS10.3_2021_50y
1970 BCS,10.4,BCS10.4_2021_50y
MCS,-99.0, -- ALL MCS sweeps
MCS,-1.0,MCS_cross_sweep
MCS,1.0,MCS1_2001_9m
MCS,2.0,MCS2_2003_3y
MCS,3.0,MCS3_2006_5y
MCS,4.0,MCS4_2008_7y
MCS,5.0,MCS5_2012_11y
MCS,6.0,MCS6_2015_14y
MCS,7.0,MCS7_2018_17y
MCS,7.1,MCS7.1_2020_20y
MCS,7.2,MCS7.2_2020_20y
MCS,7.3,MCS7.3_2021_20y
MCS,7.4,MCS7.4_2021_20y
NEXT STEPS,-99.0, -- ALL NS sweeps
NEXT STEPS,-1.0,NS_cross_sweep
NEXT STEPS,1.0,NS1_2004_14y
NEXT STEPS,2.0,NS2_2005_15y
NEXT STEPS,3.0,NS3_2006_16y
NEXT STEPS,4.0,NS4_2007_17y
NEXT STEPS,5.0,NS5_2008_18y
NEXT STEPS,6.0,NS6_2009_19y
NEXT STEPS,7.0,NS7_2010_20y
NEXT STEPS,8.0,NS8_2015_25y
NEXT STEPS,8.1,NS8.1_2020_31y
NEXT STEPS,8.2,NS8.2_2020_31y
NEXT STEPS,8.3,NS8.3_2021_31y
NEXT STEPS,8.4,NS8.4_2021_31y
NEXT STEPS,9.0,NS9_2022_32y
